location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,ew,4,1926-08-19,0.0000822362748574401
usa,short_term_reversal,daily,ew,4,1926-08-20,-0.000242675598015075
usa,short_term_reversal,daily,ew,4,1926-08-21,0.00225785037228061
usa,short_term_reversal,daily,ew,4,1926-08-23,-0.00151794482123702
usa,short_term_reversal,daily,ew,4,1926-08-24,-0.00123179745654925
usa,short_term_reversal,daily,ew,4,1926-08-25,0.000278411267452923
usa,short_term_reversal,daily,ew,4,1926-08-26,0.00088875566447542
usa,short_term_reversal,daily,ew,4,1926-08-27,0.0031873965174079
usa,short_term_reversal,daily,ew,4,1926-08-28,-0.00103832736156054
usa,short_term_reversal,daily,ew,4,1926-08-30,0.0041375421140038
usa,short_term_reversal,daily,ew,4,1926-08-31,0.00232838728385044
usa,short_term_reversal,daily,ew,4,1926-09-01,-0.000879577875208842
usa,short_term_reversal,daily,ew,4,1926-09-02,0.00346323487998661
usa,short_term_reversal,daily,ew,4,1926-09-03,0.0012746998463576
usa,short_term_reversal,daily,ew,4,1926-09-07,-0.00324579510392603
usa,short_term_reversal,daily,ew,4,1926-09-08,0.00200196140978208
usa,short_term_reversal,daily,ew,4,1926-09-09,-0.000118264863987319
usa,short_term_reversal,daily,ew,4,1926-09-10,0.00365922276333915
usa,short_term_reversal,daily,ew,4,1926-09-11,-0.00113270829239419
usa,short_term_reversal,daily,ew,4,1926-09-13,-0.00158629913614343
usa,short_term_reversal,daily,ew,4,1926-09-14,-0.00407552572889174
usa,short_term_reversal,daily,ew,4,1926-09-15,-0.000102935325466746
usa,short_term_reversal,daily,ew,4,1926-09-16,0.00373830402008439
usa,short_term_reversal,daily,ew,4,1926-09-17,0.00227968580432662
usa,short_term_reversal,daily,ew,4,1926-09-18,-0.00428584805344671
usa,short_term_reversal,daily,ew,4,1926-09-20,0.00557158078332323
usa,short_term_reversal,daily,ew,4,1926-09-21,-0.00348470554917358
usa,short_term_reversal,daily,ew,4,1926-09-22,0.000493249831376153
usa,short_term_reversal,daily,ew,4,1926-09-23,0.000813087685339795
usa,short_term_reversal,daily,ew,4,1926-09-24,-0.000606848670249578
usa,short_term_reversal,daily,ew,4,1926-09-25,0.000678057954170394
usa,short_term_reversal,daily,ew,4,1926-09-27,0.0028839219484028
usa,short_term_reversal,daily,ew,4,1926-09-28,0.000479715115706733
usa,short_term_reversal,daily,ew,4,1926-09-29,0.00459074857940734
usa,short_term_reversal,daily,ew,4,1926-09-30,-0.00416708419054544
usa,short_term_reversal,daily,ew,4,1926-10-01,0.000500254415215389
usa,short_term_reversal,daily,ew,4,1926-10-02,-0.00243710560134885
usa,short_term_reversal,daily,ew,4,1926-10-04,0.00329913596449922
usa,short_term_reversal,daily,ew,4,1926-10-05,0.000482489019019643
usa,short_term_reversal,daily,ew,4,1926-10-06,-0.00039400352360383
usa,short_term_reversal,daily,ew,4,1926-10-07,0.0028104128424003
usa,short_term_reversal,daily,ew,4,1926-10-08,-0.00505800147903378
usa,short_term_reversal,daily,ew,4,1926-10-09,0.00159155844238523
usa,short_term_reversal,daily,ew,4,1926-10-11,-0.00256384206277042
usa,short_term_reversal,daily,ew,4,1926-10-13,-0.0013884129793221
usa,short_term_reversal,daily,ew,4,1926-10-14,-0.00654542574879184
usa,short_term_reversal,daily,ew,4,1926-10-15,-0.000833087881588136
usa,short_term_reversal,daily,ew,4,1926-10-16,-0.00386993080402398
usa,short_term_reversal,daily,ew,4,1926-10-18,0.00457142471308423
usa,short_term_reversal,daily,ew,4,1926-10-19,-0.00313691821250716
usa,short_term_reversal,daily,ew,4,1926-10-20,-0.00239617952353201
usa,short_term_reversal,daily,ew,4,1926-10-21,-0.00152147313571551
usa,short_term_reversal,daily,ew,4,1926-10-22,0.000424627016874195
usa,short_term_reversal,daily,ew,4,1926-10-23,0.000394884602989919
usa,short_term_reversal,daily,ew,4,1926-10-25,-0.000247642302664282
usa,short_term_reversal,daily,ew,4,1926-10-26,-0.000355022106486713
usa,short_term_reversal,daily,ew,4,1926-10-27,0.0025939487476356
usa,short_term_reversal,daily,ew,4,1926-10-28,0.000443778229885677
usa,short_term_reversal,daily,ew,4,1926-10-29,-0.000433831942533169
usa,short_term_reversal,daily,ew,4,1926-10-30,0.00011758690181065
usa,short_term_reversal,daily,ew,4,1926-11-01,0.0014810656553971
usa,short_term_reversal,daily,ew,4,1926-11-03,0.00113548302988553
usa,short_term_reversal,daily,ew,4,1926-11-04,-0.00427854292542429
usa,short_term_reversal,daily,ew,4,1926-11-05,0.00186995997016037
usa,short_term_reversal,daily,ew,4,1926-11-06,0.000483776861697896
usa,short_term_reversal,daily,ew,4,1926-11-08,0.00363315691841602
usa,short_term_reversal,daily,ew,4,1926-11-09,0.00069443620799988
usa,short_term_reversal,daily,ew,4,1926-11-10,0.000580665753102547
usa,short_term_reversal,daily,ew,4,1926-11-11,-0.000350235672483638
usa,short_term_reversal,daily,ew,4,1926-11-12,0.00381309251845189
usa,short_term_reversal,daily,ew,4,1926-11-13,-0.000119833224710519
usa,short_term_reversal,daily,ew,4,1926-11-15,0.00233809129356663
usa,short_term_reversal,daily,ew,4,1926-11-16,0.00196615502705046
usa,short_term_reversal,daily,ew,4,1926-11-17,-0.000764834269559365
usa,short_term_reversal,daily,ew,4,1926-11-18,0.000884220238965199
usa,short_term_reversal,daily,ew,4,1926-11-19,0.00236231869434276
usa,short_term_reversal,daily,ew,4,1926-11-20,-0.00370321966772925
usa,short_term_reversal,daily,ew,4,1926-11-22,0.00230168515436306
usa,short_term_reversal,daily,ew,4,1926-11-23,-0.00131256766366444
usa,short_term_reversal,daily,ew,4,1926-11-24,0.00246688103594707
usa,short_term_reversal,daily,ew,4,1926-11-26,0.000974262138766314
usa,short_term_reversal,daily,ew,4,1926-11-27,0.0000607228313079598
usa,short_term_reversal,daily,ew,4,1926-11-29,0.000288272465661781
usa,short_term_reversal,daily,ew,4,1926-11-30,-0.000403278262721997
usa,short_term_reversal,daily,ew,4,1926-12-01,0.0047226916265301
usa,short_term_reversal,daily,ew,4,1926-12-02,0.00372069756728806
usa,short_term_reversal,daily,ew,4,1926-12-03,0.00304088957347256
usa,short_term_reversal,daily,ew,4,1926-12-04,0.00355671631659651
usa,short_term_reversal,daily,ew,4,1926-12-06,-0.00294379953470011
usa,short_term_reversal,daily,ew,4,1926-12-07,-0.0000917702719304324
usa,short_term_reversal,daily,ew,4,1926-12-08,0.00117981723523397
usa,short_term_reversal,daily,ew,4,1926-12-09,-0.00194009025328724
usa,short_term_reversal,daily,ew,4,1926-12-10,-0.00154044697734415
usa,short_term_reversal,daily,ew,4,1926-12-11,-0.00180645958012503
usa,short_term_reversal,daily,ew,4,1926-12-13,-0.00157563760829785
usa,short_term_reversal,daily,ew,4,1926-12-14,0.00157000273638341
usa,short_term_reversal,daily,ew,4,1926-12-15,0.0016105484135991
usa,short_term_reversal,daily,ew,4,1926-12-16,0.0027332110685105
usa,short_term_reversal,daily,ew,4,1926-12-17,0.00101928021403153
usa,short_term_reversal,daily,ew,4,1926-12-18,0.00180224641372185
usa,short_term_reversal,daily,ew,4,1926-12-20,-0.00231174339490127
usa,short_term_reversal,daily,ew,4,1926-12-21,0.00165847544891929
usa,short_term_reversal,daily,ew,4,1926-12-22,-0.00321319010988399
usa,short_term_reversal,daily,ew,4,1926-12-23,0.00294095838665539
usa,short_term_reversal,daily,ew,4,1926-12-24,-0.00182491452412856
usa,short_term_reversal,daily,ew,4,1926-12-27,0.0000195483029429169
usa,short_term_reversal,daily,ew,4,1926-12-28,0.00143456504237956
usa,short_term_reversal,daily,ew,4,1926-12-29,-0.00234550940862035
usa,short_term_reversal,daily,ew,4,1926-12-30,0.0018709419022996
usa,short_term_reversal,daily,ew,4,1926-12-31,0.0000179651548951072
usa,short_term_reversal,daily,ew,4,1927-01-03,0.00539288328674148
usa,short_term_reversal,daily,ew,4,1927-01-04,-0.00177179369833415
usa,short_term_reversal,daily,ew,4,1927-01-05,-0.000348156758782134
usa,short_term_reversal,daily,ew,4,1927-01-06,-0.000137870740760008
usa,short_term_reversal,daily,ew,4,1927-01-07,-0.0026656675971904
usa,short_term_reversal,daily,ew,4,1927-01-08,-2.69921114719619e-6
usa,short_term_reversal,daily,ew,4,1927-01-10,-0.00273305311781915
usa,short_term_reversal,daily,ew,4,1927-01-11,0.0015401715642961
usa,short_term_reversal,daily,ew,4,1927-01-12,0.00439047938190176
usa,short_term_reversal,daily,ew,4,1927-01-13,0.00144572926787538
usa,short_term_reversal,daily,ew,4,1927-01-14,0.00162022933702709
usa,short_term_reversal,daily,ew,4,1927-01-15,0.000209324846478855
usa,short_term_reversal,daily,ew,4,1927-01-17,0.000989082372433663
usa,short_term_reversal,daily,ew,4,1927-01-18,0.00321704956781346
usa,short_term_reversal,daily,ew,4,1927-01-19,-0.00409325977213152
usa,short_term_reversal,daily,ew,4,1927-01-20,0.00126150698412071
usa,short_term_reversal,daily,ew,4,1927-01-21,-0.00186732019113737
usa,short_term_reversal,daily,ew,4,1927-01-22,0.0025896934832752
usa,short_term_reversal,daily,ew,4,1927-01-24,-0.00120344411703118
usa,short_term_reversal,daily,ew,4,1927-01-25,0.00668443701063568
usa,short_term_reversal,daily,ew,4,1927-01-26,-0.00307963843636141
usa,short_term_reversal,daily,ew,4,1927-01-27,-0.000497034177226814
usa,short_term_reversal,daily,ew,4,1927-01-28,0.00180773619898149
usa,short_term_reversal,daily,ew,4,1927-01-29,-0.00504653712287483
usa,short_term_reversal,daily,ew,4,1927-01-31,-0.00420860114289491
usa,short_term_reversal,daily,ew,4,1927-02-01,-0.00476532447531963
usa,short_term_reversal,daily,ew,4,1927-02-02,-0.00216930540690872
usa,short_term_reversal,daily,ew,4,1927-02-03,0.000631116055812419
usa,short_term_reversal,daily,ew,4,1927-02-04,-0.00235663411511773
usa,short_term_reversal,daily,ew,4,1927-02-05,-0.00215623146890303
usa,short_term_reversal,daily,ew,4,1927-02-07,-0.00643225096115508
usa,short_term_reversal,daily,ew,4,1927-02-08,-0.00713705477490346
usa,short_term_reversal,daily,ew,4,1927-02-09,0.00538551868603143
usa,short_term_reversal,daily,ew,4,1927-02-10,-0.000993746552145563
usa,short_term_reversal,daily,ew,4,1927-02-11,0.00238136213007124
usa,short_term_reversal,daily,ew,4,1927-02-14,0.00467590310747293
usa,short_term_reversal,daily,ew,4,1927-02-15,-0.000908059014792922
usa,short_term_reversal,daily,ew,4,1927-02-16,-0.00119169048559547
usa,short_term_reversal,daily,ew,4,1927-02-17,0.000697498272618024
usa,short_term_reversal,daily,ew,4,1927-02-18,0.00055894218320184
usa,short_term_reversal,daily,ew,4,1927-02-19,0.00147769177394064
usa,short_term_reversal,daily,ew,4,1927-02-21,0.00590140837965334
usa,short_term_reversal,daily,ew,4,1927-02-23,-0.000666314103228491
usa,short_term_reversal,daily,ew,4,1927-02-24,-0.00184697839811777
usa,short_term_reversal,daily,ew,4,1927-02-25,-0.000200201414222072
usa,short_term_reversal,daily,ew,4,1927-02-26,0.00126690693777863
usa,short_term_reversal,daily,ew,4,1927-02-28,0.000198537654275327
usa,short_term_reversal,daily,ew,4,1927-03-01,0.00573356029012386
usa,short_term_reversal,daily,ew,4,1927-03-02,0.00893477108783507
usa,short_term_reversal,daily,ew,4,1927-03-03,-0.00372424234250401
usa,short_term_reversal,daily,ew,4,1927-03-04,0.00138248111867141
usa,short_term_reversal,daily,ew,4,1927-03-05,0.00432517979518217
usa,short_term_reversal,daily,ew,4,1927-03-07,0.0021415373882935
usa,short_term_reversal,daily,ew,4,1927-03-08,-0.0041208615981411
usa,short_term_reversal,daily,ew,4,1927-03-09,-0.00455508996822735
usa,short_term_reversal,daily,ew,4,1927-03-10,-0.00303228233110565
usa,short_term_reversal,daily,ew,4,1927-03-11,-0.00177919090986884
usa,short_term_reversal,daily,ew,4,1927-03-12,0.000628646261621713
usa,short_term_reversal,daily,ew,4,1927-03-14,0.00177422912753137
usa,short_term_reversal,daily,ew,4,1927-03-15,0.00286537945396033
usa,short_term_reversal,daily,ew,4,1927-03-16,-0.00546918721719791
usa,short_term_reversal,daily,ew,4,1927-03-17,-0.00348285333801286
usa,short_term_reversal,daily,ew,4,1927-03-18,0.00523986877833234
usa,short_term_reversal,daily,ew,4,1927-03-19,-0.00085171447887818
usa,short_term_reversal,daily,ew,4,1927-03-21,-0.00370813895958504
usa,short_term_reversal,daily,ew,4,1927-03-22,0.00332333698914569
usa,short_term_reversal,daily,ew,4,1927-03-23,-0.00406277959496577
usa,short_term_reversal,daily,ew,4,1927-03-24,-0.00419382361852656
usa,short_term_reversal,daily,ew,4,1927-03-25,0.000997920881874846
usa,short_term_reversal,daily,ew,4,1927-03-26,0.00286629903729202
usa,short_term_reversal,daily,ew,4,1927-03-28,-0.0004535198317074
usa,short_term_reversal,daily,ew,4,1927-03-29,-0.0050445278473633
usa,short_term_reversal,daily,ew,4,1927-03-30,-0.00304305468200049
usa,short_term_reversal,daily,ew,4,1927-03-31,0.00214800736556167
usa,short_term_reversal,daily,ew,4,1927-04-01,0.00135272408659204
usa,short_term_reversal,daily,ew,4,1927-04-02,-0.00219900198017502
usa,short_term_reversal,daily,ew,4,1927-04-04,-0.00743380520926929
usa,short_term_reversal,daily,ew,4,1927-04-05,0.00159656682384786
usa,short_term_reversal,daily,ew,4,1927-04-06,0.00240894537901041
usa,short_term_reversal,daily,ew,4,1927-04-07,0.00164472848897484
usa,short_term_reversal,daily,ew,4,1927-04-08,-0.00270155560547688
usa,short_term_reversal,daily,ew,4,1927-04-09,-0.00252893874705134
usa,short_term_reversal,daily,ew,4,1927-04-11,0.00128443971614622
usa,short_term_reversal,daily,ew,4,1927-04-12,0.00364259844720194
usa,short_term_reversal,daily,ew,4,1927-04-13,-0.00350537035972176
usa,short_term_reversal,daily,ew,4,1927-04-14,0.00305791583639762
usa,short_term_reversal,daily,ew,4,1927-04-16,0.0000179389557583958
usa,short_term_reversal,daily,ew,4,1927-04-18,-0.00299212191459379
usa,short_term_reversal,daily,ew,4,1927-04-19,0.00110853652069344
usa,short_term_reversal,daily,ew,4,1927-04-20,0.0020407568367626
usa,short_term_reversal,daily,ew,4,1927-04-21,-0.00186703357028675
usa,short_term_reversal,daily,ew,4,1927-04-22,-0.00103218111143832
usa,short_term_reversal,daily,ew,4,1927-04-23,-0.00300387049531126
usa,short_term_reversal,daily,ew,4,1927-04-25,0.00329157333733483
usa,short_term_reversal,daily,ew,4,1927-04-26,0.000232081704611779
usa,short_term_reversal,daily,ew,4,1927-04-27,-0.00596775528361131
usa,short_term_reversal,daily,ew,4,1927-04-28,0.00417736384546912
usa,short_term_reversal,daily,ew,4,1927-04-29,-0.000929232545440938
usa,short_term_reversal,daily,ew,4,1927-04-30,0.00153203466647844
usa,short_term_reversal,daily,ew,4,1927-05-02,-0.00544645243482534
usa,short_term_reversal,daily,ew,4,1927-05-03,-0.000443061056298651
usa,short_term_reversal,daily,ew,4,1927-05-04,-0.00214249198781719
usa,short_term_reversal,daily,ew,4,1927-05-05,0.00166191598530628
